SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
1004_3x1014_3,bsyn,-0.0859253,0.30959,-0.581801,0.446782,-0.758148,0.617573,-1.40355,1.33449

1004_3x1014_3,syn,-0.0764295,0.283672,-0.535623,0.403529,-0.68898,0.552617,-1.25851,1.40733

1004_3x1015_3,bsyn,-0.138259,0.339898,-0.709134,0.417117,-0.902405,0.598249,-1.72437,1.51017

1004_3x1015_3,syn,-0.123035,0.296987,-0.62425,0.361372,-0.774973,0.528257,-1.40601,1.33933

1004_3x1017_3,bsyn,-0.100071,0.330053,-0.655966,0.424846,-0.86729,0.608814,-1.96629,1.28477

1004_3x1017_3,syn,-0.0797488,0.272099,-0.533869,0.356193,-0.717697,0.532983,-1.40859,1.47102

1004_3x1036_3,bsyn,-0.0721295,0.326756,-0.632174,0.447355,-0.773272,0.740456,-1.57509,1.40985

1004_3x1036_3,syn,-0.0629633,0.289267,-0.549197,0.400106,-0.677179,0.627021,-1.22148,1.39773

1005_3x1000_3,bsyn,-0.0966201,0.383851,-0.741253,0.454189,-1.00714,0.638153,-2.34931,1.40199

1005_3x1000_3,syn,-0.0868895,0.353309,-0.680387,0.415116,-0.946038,0.582802,-2.14825,1.16223

1005_3x1001_3,bsyn,-0.0318947,0.352696,-0.613191,0.503993,-0.831456,0.628272,-1.88295,1.27891

1005_3x1001_3,syn,-0.0288402,0.331587,-0.571796,0.467813,-0.791792,0.584626,-1.76727,1.24274

1005_3x1002_3,bsyn,-0.133356,0.384468,-0.831371,0.424521,-1.03832,0.696355,-2.00512,1.3954

1005_3x1002_3,syn,-0.112129,0.31855,-0.669946,0.35218,-0.84238,0.603762,-1.81004,1.11568

1005_3x1006_3,bsyn,-0.0355459,0.322655,-0.612313,0.452406,-0.782048,0.568277,-1.37198,1.3383

1005_3x1006_3,syn,-0.0252921,0.290484,-0.542755,0.413904,-0.689817,0.521814,-1.16687,1.16292

1005_3x1007_3,bsyn,-0.0795004,0.366197,-0.688364,0.441708,-0.936262,0.599645,-2.22359,1.26439

1005_3x1007_3,syn,-0.0696459,0.327321,-0.615808,0.394829,-0.837509,0.53821,-1.95231,1.22426

1005_3x1008_3,bsyn,-0.0494712,0.363082,-0.683962,0.461348,-0.939966,0.584451,-2.10752,1.20004

1005_3x1008_3,syn,-0.0397396,0.327599,-0.593288,0.424438,-0.823851,0.538252,-2.02467,1.21578

1005_3x1009_3,bsyn,-0.0559381,0.372538,-0.698061,0.500249,-0.923264,0.660682,-2.09832,1.61129

1005_3x1009_3,syn,-0.0482368,0.342215,-0.632385,0.458527,-0.842503,0.607412,-1.92562,1.59668

1005_3x1010_3,bsyn,-0.0162703,0.391724,-0.6614,0.583934,-0.858502,0.729684,-2.10685,1.98685

1005_3x1010_3,syn,-0.00127334,0.318344,-0.512385,0.482153,-0.683375,0.603622,-1.78891,1.37426

