SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
S01xS30,bsyn,-0.0719168,0.297481,-0.57232,0.407677,-0.719907,0.565034,-1.26183,1.18662

S01xS30,syn,-0.0570053,0.264502,-0.499727,0.364765,-0.643319,0.515217,-1.19304,1.14674

S01xS31,bsyn,0.0108609,0.306013,-0.514325,0.506726,-0.649203,0.627912,-1.56812,1.28353

S01xS31,syn,0.0201864,0.273913,-0.457654,0.459333,-0.576657,0.577243,-1.24754,1.22855

S01xS32,bsyn,-0.00669685,0.327778,-0.544741,0.53304,-0.688944,0.683442,-1.26535,1.41405

S01xS32,syn,0.00880037,0.276805,-0.449751,0.451715,-0.572078,0.591054,-1.16052,1.36709

S01xS33,bsyn,-0.0176182,0.292372,-0.506204,0.459682,-0.62277,0.585809,-1.20589,1.25075

S01xS33,syn,-0.009674,0.252598,-0.420522,0.40802,-0.538621,0.523733,-1.06484,1.45613

S01xS34,bsyn,0.0059949,0.305797,-0.499772,0.504247,-0.626905,0.636018,-1.40509,1.39703

S01xS34,syn,0.0146582,0.258782,-0.415407,0.440145,-0.537558,0.562525,-1.04767,1.2652

S01xS35,bsyn,-0.0626501,0.29858,-0.57576,0.399423,-0.740387,0.537636,-1.47494,1.45727

S01xS35,syn,-0.0469403,0.2481,-0.464326,0.344957,-0.5949,0.468249,-1.25959,1.20926

S01xS36,bsyn,-0.0133945,0.3044,-0.518428,0.473954,-0.658272,0.644231,-1.28343,1.81217

S01xS36,syn,0.00128763,0.253995,-0.410685,0.424602,-0.524864,0.571965,-1.08156,1.62104

S01xS37,bsyn,-0.00655982,0.304337,-0.523682,0.485009,-0.644666,0.612267,-1.2437,1.25408

S01xS37,syn,0.00468008,0.263756,-0.439728,0.430815,-0.559279,0.552628,-1.12148,1.2515

S01xS38,bsyn,0.0026486,0.295059,-0.495831,0.467683,-0.629552,0.587479,-1.36773,1.35525

S01xS38,syn,0.0088224,0.264453,-0.439213,0.432037,-0.56294,0.548451,-1.20452,1.17025

