SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
g3xg1,bsyn,-0.126097,0.343916,-0.705629,0.417846,-0.884252,0.576106,-1.84996,1.36195

g3xg1,syn,-0.0788438,0.185668,-0.382397,0.236525,-0.472922,0.36371,-0.881476,0.882174

g3xg2,bsyn,-0.101978,0.355152,-0.699795,0.473235,-0.850381,0.626999,-1.46593,1.49673

g3xg2,syn,-0.0573206,0.201009,-0.375641,0.290237,-0.450031,0.415131,-0.86938,0.857855

g3xg4,bsyn,-0.0622374,0.331413,-0.621476,0.463741,-0.772685,0.580114,-1.43601,1.23424

g3xg4,syn,-0.024234,0.174108,-0.311894,0.259263,-0.379797,0.360169,-0.842827,0.722699

g3xg5,bsyn,-0.148638,0.348018,-0.729451,0.429449,-0.894807,0.570056,-1.7455,1.52329

g3xg5,syn,-0.0941268,0.17249,-0.368278,0.19785,-0.430149,0.322387,-0.760812,0.834728

g3xg6,bsyn,-0.130416,0.334116,-0.678702,0.426995,-0.824876,0.551961,-1.55615,1.33916

g3xg6,syn,-0.0837139,0.176826,-0.376906,0.208553,-0.451228,0.320218,-0.924673,0.698384

g3xg7,bsyn,-0.117387,0.320585,-0.650794,0.401875,-0.770949,0.527968,-1.39045,1.26796

g3xg7,syn,-0.0737504,0.188544,-0.377961,0.240711,-0.456395,0.358294,-1.03101,0.741234

g3xg8,bsyn,-0.122029,0.335041,-0.707811,0.396704,-0.847287,0.548205,-1.49015,1.32354

g3xg8,syn,-0.076225,0.185207,-0.385113,0.219168,-0.499567,0.333934,-0.939661,0.710305

g3xg9,bsyn,-0.0911645,0.318176,-0.622854,0.427344,-0.752411,0.545602,-1.44442,1.33729

g3xg9,syn,-0.0561772,0.178672,-0.349242,0.238686,-0.409291,0.338845,-0.872993,0.737704

g4xg10,bsyn,-0.0570436,0.304635,-0.558078,0.45195,-0.669339,0.573762,-1.21266,1.23043

g4xg10,syn,-0.0350684,0.182705,-0.33265,0.260085,-0.424236,0.36164,-0.752706,0.784654

g4xg1,bsyn,-0.0880621,0.311713,-0.620732,0.413966,-0.769008,0.568273,-1.46264,1.45427

g4xg1,syn,-0.0477642,0.179028,-0.343975,0.251081,-0.430595,0.373603,-0.953059,0.75074

g4xg2,bsyn,-0.0699996,0.353387,-0.66789,0.502182,-0.836446,0.668594,-1.55021,1.53597

g4xg2,syn,-0.0304854,0.194673,-0.350124,0.290134,-0.482927,0.403893,-0.875522,1.00847

g4xg3,bsyn,-0.0231323,0.3027,-0.512439,0.489028,-0.62178,0.611169,-1.24022,1.33542

