Subject,All,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,106,107,108,109,110,111
c1,0.753733,0.839561,0.885511,0.823963,0.842293,0.541988,0.736506,0.792896,0.83959,0.769076,0.770368,0.789617,0.7523,0.64221,0.684125,0.731066,0.719003,0.792058,0.715416,0.528698,0.592459,0,0.829423,0.739731,0.748993,0.575237,0.647549,0.855296,0.659739,0.722736,0.738942,0.748414,0.442716,0.744488,0.789385,0.693938,0.697406,0.690848,0.758981,0.728346,0.481474,0.784595,0.85184,0.610873,0.808755,0.709477,0.707881,0.572735,0.656113,0.825509,0.882826,0.777246,0.750013,0.284261,0.704821,0.803751,0.816403,0.656783,0.833591,0.77909,0.792116,0.382144,0.734755,0.759057,0.640711,0.717362,0.451653,0.678883,0.554654,0.220172,0.778957,0.768526,0.798364,0.810366,0.79665,0.863911,0.833346,0.895712,0.850639,0.816518,0.707607,0.780883,0.783238,0.665267,0.724174,0.673793,0.774247,0.632181,0.52,0.704572,0.790883,0.688866,0.78429,0.779882,0.796752,0.698803,0.691839
c10,0.711779,0.831931,0.895538,0.832299,0.85608,0.79882,0.827987,0.800953,0.678445,0.60788,0.738232,0.56619,0.625905,0.419971,0.476923,0.481549,0.590542,0.760461,0.598375,0.5814,0.448444,0.197452,0.712662,0.474579,0.629083,0.681299,0.745813,0.626937,0.769196,0.837424,0.604475,0.726544,0.41679,0.780548,0.690193,0.629014,0.643265,0.573522,0.734512,0.727596,0.222537,0.700297,0.726826,0.569425,0.689706,0.707198,0.79545,0.5,0.583669,0.791436,0.880151,0.789556,0.79297,0.656013,0.721967,0.77598,0.776491,0.426667,0.764795,0.486234,0.716991,0.666449,0.502755,0.623557,0.576815,0.743819,0.51415,0.608133,0.628997,0.442156,0.681742,0.57905,0.797503,0.683885,0.720751,0.600203,0.768951,0.829861,0.799956,0.774202,0.51275,0.718303,0.634074,0.59052,0.76882,0.184397,0.583179,0.684591,0.41959,0.705984,0.747319,0.596867,0.716482,0.714219,0.819235,0.475975,0.610919
c11,0.698459,0.805616,0.887255,0.735684,0.763701,0.661661,0.772208,0.726517,0.822409,0.555454,0.663189,0.280678,0.652874,0.264357,0.124846,0.597649,0.466914,0.724181,0.696596,0.46359,0.383417,0.150198,0.788744,0.679977,0.653822,0.722096,0.471812,0.7445,0.609279,0.711882,0.747449,0.804283,0.706605,0.812507,0.71541,0.7112,0.622076,0.378062,0.605095,0.577766,0.327103,0.751892,0.730952,0.394649,0.776178,0.714443,0.752141,0.520132,0.790793,0.825466,0.865909,0.761951,0.795316,0.287714,0.4578,0.792718,0.823763,0.571128,0.671616,0.632636,0.612451,0.468913,0.53565,0.42983,0.474737,0.792246,0.674396,0.60306,0.44405,0.443631,0.719967,0.719257,0.738798,0.605742,0.587302,0.701096,0.641101,0.829317,0.702258,0.656252,0.671804,0.734366,0.65408,0.744726,0.747177,0.350668,0.484367,0.517714,0.610961,0.43223,0.721837,0.572422,0.711084,0.657664,0.627746,0.516389,0.77789
c12,0.671373,0.821374,0.885841,0.755936,0.783837,0.692029,0.769878,0.727616,0.827435,0.471633,0.740458,0.51425,0.724802,0.212393,0.406891,0.683738,0.423405,0.67757,0.522443,0.589206,0.488524,0.192992,0.697637,0.512895,0.754686,0.631579,0.470652,0.781671,0.597318,0.635235,0.687379,0.738636,0.496285,0.810234,0.713973,0.731073,0.740087,0.3257,0.587572,0.677044,0.267951,0.73743,0.694994,0.579045,0.527805,0.518744,0.754491,0.63906,0.462537,0.759589,0.874017,0.675821,0.775416,0.424698,0.687678,0.715188,0.804254,0.0105325,0.636268,0.107605,0.636665,0.55783,0.0313725,0.578896,0.584702,0.714358,0.311767,0.603108,0.40267,0,0.714936,0.589051,0.782147,0.781175,0.551978,0.770701,0.775291,0.842994,0.740672,0.732124,0.442308,0.491807,0.698897,0.749801,0.73087,0.196078,0.478355,0.637288,0.323857,0.310154,0.807467,0.689151,0.367121,0.638933,0.637956,0.576943,0.675076
c13,0.681332,0.716146,0.851766,0.710244,0.501968,0.0788748,0.31161,0.662021,0.770526,0.593782,0.791358,0.426995,0.774373,0.700873,0.420993,0.720304,0.678027,0.708036,0.392137,0.720345,0.602014,0.138418,0.817246,0.698664,0.649453,0.527592,0.687429,0.568126,0.544488,0.660165,0.804629,0.774804,0.587354,0.59868,0.694501,0.705361,0.725379,0.444928,0.695413,0.561947,0.425096,0.610545,0.752113,0.72549,0.636408,0.594257,0.801848,0.456844,0.682762,0.743745,0.826731,0.577695,0.738835,0.194454,0.692612,0.728821,0.62718,0.443099,0.717104,0.497718,0.72873,0.709537,0.383961,0.710753,0.709091,0.758083,0.719895,0.597276,0.509324,0.460952,0.768392,0.736761,0.730358,0.442728,0.599089,0.599301,0.530312,0.638885,0.777504,0.741372,0.455667,0.621056,0.694332,0.770615,0.772339,0.333184,0.717009,0.685684,0.555047,0.632348,0.740942,0.623991,0.559191,0.572597,0.703146,0.499394,0.606659
c14,0.716077,0.783124,0.850175,0.518855,0.549878,0.350288,0.584732,0.755381,0.800245,0.664875,0.73934,0.751116,0.742171,0.6844,0.649675,0.725299,0.733459,0.742801,0.686516,0.667169,0.771502,0.437361,0.799753,0.73026,0.700417,0.776739,0.498571,0.674722,0.683664,0.720117,0.766393,0.804174,0.610653,0.59545,0.78508,0.802915,0.714991,0.644667,0.768657,0.797175,0.510329,0.682777,0.728188,0.577982,0.737072,0.709402,0.782565,0.598049,0.798738,0.818893,0.873966,0.668452,0.66518,0.492972,0.485125,0.722648,0.839915,0.798887,0.805563,0.690308,0.846568,0.615891,0.505998,0.724183,0.608087,0.742246,0.622371,0.697693,0.668843,0.533115,0.78123,0.599929,0.802189,0.560402,0.287262,0.717328,0.740476,0.776113,0.82167,0.809096,0.425048,0.724126,0.750383,0.789351,0.796889,0.507423,0.698845,0.67355,0.609035,0.789345,0.74178,0.461538,0.799536,0.816176,0.744737,0.489796,0.638894
c15,0.745674,0.838151,0.836769,0.753482,0.801441,0.713714,0.633661,0.747418,0.843135,0.601935,0.759868,0.62315,0.718038,0.690058,0.622913,0.672922,0.695577,0.74496,0.74834,0.647952,0.671893,0.313105,0.778901,0.679649,0.680369,0.684759,0.726429,0.787102,0.696959,0.842663,0.817792,0.814019,0.609567,0.650899,0.678935,0.766845,0.764067,0.52808,0.714607,0.748842,0.519259,0.716913,0.76609,0.666086,0.652463,0.735182,0.749485,0.474488,0.779351,0.853318,0.847544,0.761634,0.778435,0.538765,0.726548,0.809646,0.775861,0.64582,0.841876,0.549572,0.78272,0.688193,0.553564,0.730964,0.656113,0.738264,0.645676,0.563384,0.432803,0.441388,0.763921,0.737986,0.812829,0.661244,0.79037,0.801527,0.73725,0.833319,0.798871,0.808933,0.668633,0.759807,0.665999,0.756016,0.829865,0.570954,0.749621,0.69188,0.497961,0.64746,0.802144,0.731509,0.657303,0.731774,0.818266,0.675,0.698554
c16,0.737048,0.864923,0.824106,0.7687,0.809589,0.687425,0.722054,0.794624,0.726005,0.532826,0.787151,0.504057,0.6759,0.611298,0.485147,0.627835,0.672136,0.773491,0.225383,0.746057,0.56822,0.0230303,0.74661,0.775742,0.7535,0.547415,0.703654,0.745391,0.605042,0.74086,0.842371,0.850176,0.573402,0.792312,0.508232,0.626046,0.626821,0.452007,0.612081,0.600501,0.425436,0.697935,0.777573,0.732959,0.684862,0.701696,0.780594,0.442303,0.766706,0.807979,0.839469,0.751861,0.760776,0.664853,0.682707,0.771971,0.696721,0.406077,0.83256,0.421943,0.711903,0.664272,0.420071,0.674982,0.638323,0.811494,0.627559,0.690952,0.751745,0.304711,0.835813,0.792383,0.788481,0.730949,0.619275,0.749953,0.769656,0.823928,0.837366,0.816435,0.646218,0.75548,0.560147,0.560896,0.674756,0.350315,0.734932,0.72498,0.408332,0.587463,0.756622,0.635091,0.546123,0.683447,0.731329,0.599099,0.803764
c17,0.719833,0.892883,0.860783,0.789283,0.765017,0.669519,0.718146,0.700853,0.781033,0.562811,0.637269,0.651963,0.705672,0.628112,0.659257,0.709358,0.704754,0.683599,0.6022,0.592247,0.577479,0.000660284,0.812818,0.705026,0.735857,0.546702,0.527141,0.720896,0.741601,0.834459,0.795507,0.801762,0.695112,0.752959,0.642333,0.581571,0.7154,0.571601,0.764786,0.579412,0.511129,0.699789,0.660078,0.561453,0.62525,0.648649,0.690823,0.619541,0.716004,0.83605,0.855374,0.510135,0.574728,0.599083,0.623193,0.602041,0.80398,0.62179,0.757931,0.637891,0.8134,0.684081,0.57832,0.666721,0.652648,0.691747,0.670818,0.604347,0.641014,0.466648,0.776151,0.772502,0.634063,0.582944,0.661107,0.716565,0.718126,0.840734,0.748181,0.754799,0.353377,0.761494,0.644169,0.725312,0.729923,0.552599,0.729915,0.652966,0.673835,0.648361,0.744073,0.664538,0.621164,0.636546,0.598146,0.479342,0.666415
