SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_Template0xS28,bsyn,0.0307794,0.214536,-0.335327,0.36764,-0.459379,0.464908,-1.09471,1.1139

T_Template0xS28,syn,0.0344162,0.176501,-0.268584,0.307266,-0.370923,0.38859,-0.929766,0.898562

T_Template0xS29,bsyn,0.0282519,0.222602,-0.357858,0.374521,-0.480964,0.485816,-1.34966,1.37554

T_Template0xS29,syn,0.0315634,0.198897,-0.313873,0.335175,-0.428598,0.4386,-1.43304,1.17783

T_Template0xS30,bsyn,-0.00332934,0.229829,-0.388838,0.334876,-0.548889,0.444976,-1.67294,1.32781

T_Template0xS30,syn,0.000653605,0.204426,-0.351586,0.306887,-0.479204,0.406981,-1.19818,1.1358

T_Template0xS31,bsyn,0.0157302,0.224971,-0.369073,0.372993,-0.494907,0.486936,-1.24655,1.05017

T_Template0xS31,syn,0.0195945,0.20482,-0.334366,0.343371,-0.451578,0.437845,-1.21862,1.03305

T_Template0xS32,bsyn,0.00873343,0.229674,-0.389192,0.365229,-0.529445,0.468848,-1.70952,1.12799

T_Template0xS32,syn,0.0122513,0.210278,-0.349823,0.333622,-0.486602,0.429337,-1.64353,0.899498

T_Template0xS33,bsyn,0.0243632,0.229425,-0.380837,0.373454,-0.516655,0.480881,-1.10296,1.15771

T_Template0xS33,syn,0.0286355,0.201485,-0.32385,0.333431,-0.448966,0.424248,-1.09238,1.03263

T_Template0xS34,bsyn,0.0177776,0.233775,-0.380828,0.387772,-0.508787,0.504985,-1.18972,1.29327

T_Template0xS34,syn,0.0227095,0.204685,-0.331621,0.343143,-0.446823,0.440412,-1.05715,1.05631

T_Template0xS35,bsyn,0.0161056,0.225875,-0.374095,0.367622,-0.497298,0.476175,-1.2852,1.1524

T_Template0xS35,syn,0.0196777,0.196896,-0.324673,0.320546,-0.4363,0.417352,-1.0825,1.00137

T_Template0xS36,bsyn,0.00954565,0.239909,-0.402223,0.380547,-0.534471,0.508939,-1.36608,1.38914

T_Template0xS36,syn,0.0148607,0.209248,-0.343892,0.337146,-0.464908,0.451181,-1.34069,1.25048

T_Template0xS37,bsyn,0.0267003,0.230109,-0.361619,0.389314,-0.472141,0.505099,-0.962217,1.29908

T_Template0xS37,syn,0.0322988,0.200576,-0.315533,0.345472,-0.424944,0.43705,-0.9863,1.02442

T_Template0xS38,bsyn,0.00207689,0.238945,-0.411983,0.367982,-0.543467,0.470249,-1.21415,1.2013

