Subject,All,21,22,23,24,25,26,27,28,29,30,31,32,33,34,41,42,43,44,45,46,47,48,49,50,61,62,63,64,65,66,67,68,81,82,83,84,85,86,87,88,89,90,91,92,101,102,121,122,161,162,163,164,165,166,181,182
S01,0.565587,0.663652,0.669607,0.660581,0.652708,0.647514,0.664415,0.683362,0.627589,0.663237,0.577969,0.636944,0.573116,0.639717,0.535094,0.633177,0.638746,0.631239,0.644929,0.632471,0.64144,0.657814,0.673867,0.537828,0.640965,0.420828,0.423974,0.610056,0.591904,0.556387,0.461861,0.451566,0.41465,0.724019,0.710091,0.637559,0.684577,0.625834,0.693867,0.577703,0.565208,0.538091,0.492594,0.642986,0.692125,0.781104,0.762613,0.614527,0.690648,0,0,0,0,0,0,0,0
S02,0.564794,0.689344,0.675512,0.620364,0.644558,0.657341,0.657251,0.684269,0.681429,0.635469,0.659922,0.684505,0.659126,0.597216,0.62207,0.678203,0.634397,0.583487,0.535778,0.658147,0.689097,0.538299,0.702332,0.676852,0.670702,0.56897,0.524453,0.613074,0.637341,0.590866,0.704067,0.557279,0.480618,0.708198,0.708187,0.642071,0.587065,0.604766,0.575526,0.519926,0.561857,0.557364,0.492755,0.616305,0.666511,0.79652,0.795511,0.665709,0.669471,0,0,0,0,0,0,0,0
S03,0.565294,0.682228,0.660982,0.631973,0.625716,0.649058,0.659425,0.686561,0.654097,0.626698,0.66252,0.638166,0.589128,0.633568,0.629823,0.587797,0.636597,0.638785,0.589144,0.610921,0.63296,0.668647,0.696019,0.600819,0.599432,0.5469,0.533115,0.606904,0.633386,0.560267,0.571783,0.601134,0.365831,0.724963,0.709311,0.585354,0.634441,0.585366,0.624678,0.527611,0.555524,0.53929,0.498944,0.669401,0.614461,0.757079,0.74201,0.668739,0.68432,0,0,0,0,0,0,0,0
S04,0.552482,0.661063,0.668114,0.605647,0.566618,0.624339,0.537513,0.642935,0.632359,0.600081,0.626985,0.527495,0.59202,0.616424,0.625472,0.537164,0.623264,0.591422,0.640373,0.625495,0.61552,0.71277,0.660427,0.648931,0.658847,0.588694,0.554484,0.526451,0.5798,0.600907,0.527197,0.50614,0.470957,0.69284,0.679142,0.615823,0.657362,0.683697,0.606159,0.521832,0.499421,0.552877,0.510813,0.718057,0.653135,0.785776,0.75084,0.55219,0.633686,0,0,0,0,0,0,0,0
S05,0.571338,0.695913,0.688157,0.647551,0.623017,0.712699,0.649865,0.714098,0.639385,0.592676,0.678767,0.53697,0.594343,0.652593,0.720267,0.673208,0.693714,0.584656,0.617901,0.60809,0.630405,0.591518,0.675697,0.632664,0.621031,0.514528,0.498536,0.55738,0.5699,0.601052,0.681911,0.56747,0.578763,0.702419,0.710503,0.650793,0.645978,0.700295,0.665466,0.620735,0.604521,0.559985,0.56712,0.712612,0.658161,0.806113,0.800157,0.649065,0.622129,0,0,0,0,0,0,0,0
S06,0.55872,0.689244,0.685411,0.589005,0.586261,0.649697,0.667693,0.639048,0.614197,0.626102,0.585753,0.626924,0.603238,0.665851,0.693457,0.626299,0.583744,0.577629,0.595232,0.73283,0.733163,0.66903,0.685327,0.588018,0.67141,0.574604,0.524763,0.5817,0.568376,0.657465,0.634706,0.580305,0.54707,0.644911,0.72264,0.597671,0.629555,0.633923,0.671007,0.582447,0.588328,0.547088,0.555207,0.641595,0.697203,0.807876,0.780862,0.607659,0.550204,0,0,0,0,0,0,0,0
S07,0.559749,0.664258,0.668904,0.610004,0.572203,0.65277,0.631556,0.670492,0.600753,0.63443,0.541675,0.63796,0.462266,0.662537,0.680887,0.660003,0.663793,0.593758,0.562145,0.60593,0.704776,0.610939,0.682455,0.67415,0.696343,0.401025,0.482889,0.596064,0.552701,0.610189,0.494852,0.560799,0.512291,0.690542,0.704849,0.632041,0.624184,0.681955,0.645515,0.547015,0.547227,0.58211,0.559027,0.68102,0.658518,0.817263,0.789688,0.60308,0.642609,0,0,0,0,0,0,0,0
S08,0.565257,0.670542,0.684834,0.662057,0.671962,0.680444,0.660916,0.680614,0.635984,0.588169,0.642063,0.657878,0.630959,0.615815,0.647465,0.64051,0.674239,0.516306,0.594832,0.496737,0.704708,0.38145,0.678834,0.679661,0.648709,0.48758,0.424526,0.484294,0.591534,0.688339,0.628501,0.603903,0.541923,0.726351,0.673908,0.669665,0.619062,0.641787,0.63686,0.579456,0.569018,0.552052,0.553067,0.71754,0.69183,0.768506,0.819258,0.62695,0.580904,0,0,0,0,0,0,0,0
S09,0.549285,0.695209,0.674505,0.567468,0.58467,0.66245,0.567898,0.659829,0.625636,0.663334,0.664729,0.660156,0.494681,0.69062,0.552173,0.675637,0.614208,0.588271,0.57436,0.681849,0.699788,0.613123,0.623004,0.62725,0.654799,0.471199,0.446887,0.543332,0.50588,0.570071,0.573923,0.53335,0.481197,0.695681,0.695867,0.617222,0.648527,0.605657,0.673158,0.561389,0.604504,0.508148,0.541707,0.686955,0.686631,0.784524,0.787393,0.63654,0.650866,0,0,0,0,0,0,0,0
