SubjectID,Regularization,AllLabels,21,22,23,24,25,26,27,28,29,30,31,32,33,34,41,42,43,44,45,46,47,48,49,50,61,62,63,64,65,66,67,68,81,82,83,84,85,86,87,88,89,90,91,92,101,102,121,122,161,162,163,164,165,166,181,182
S01xS02,bsyn,0.756671,0.814982,0.802309,0.784691,0.789634,0.796922,0.734499,0.717034,0.726957,0.814851,0.778851,0.810793,0.777206,0.743312,0.801527,0.738477,0.716296,0.653733,0.724768,0.861424,0.748788,0.753663,0.776204,0.658366,0.723497,0.661924,0.695228,0.687691,0.720172,0.670368,0.735494,0.552168,0.652406,0.784846,0.821549,0.743081,0.76125,0.771396,0.81523,0.727977,0.799493,0.648104,0.607211,0.798479,0.833871,0.88779,0.844271,0.732537,0.777852,0,0,0,0,0,0,0,0
S01xS02,syn,0.746655,0.804107,0.795848,0.770647,0.766928,0.772279,0.732606,0.696747,0.696997,0.822474,0.766667,0.804464,0.731205,0.682413,0.744911,0.707001,0.715556,0.62847,0.700996,0.845909,0.738012,0.769267,0.775618,0.680865,0.737486,0.676829,0.708243,0.726211,0.726632,0.694317,0.738313,0.541005,0.649436,0.784464,0.818815,0.73431,0.7453,0.748402,0.797708,0.71635,0.792255,0.621452,0.625132,0.788441,0.818402,0.884341,0.820245,0.742239,0.749102,0,0,0,0,0,0,0,0
S01xS03,bsyn,0.754039,0.795594,0.773851,0.765067,0.758537,0.798833,0.75766,0.701294,0.709911,0.810917,0.824138,0.837775,0.826296,0.800228,0.807252,0.712898,0.729537,0.698224,0.69679,0.824824,0.723599,0.749494,0.803556,0.696811,0.70776,0.713753,0.691612,0.742143,0.699716,0.717831,0.713413,0.629884,0.614379,0.785173,0.799023,0.76156,0.7453,0.793945,0.76582,0.706131,0.771987,0.661755,0.639047,0.786616,0.811811,0.865486,0.831813,0.745672,0.780381,0,0,0,0,0,0,0,0
S01xS03,syn,0.746926,0.808242,0.77431,0.738607,0.739376,0.812412,0.758381,0.697517,0.67257,0.804524,0.808736,0.857095,0.811878,0.806488,0.764631,0.693879,0.715648,0.679945,0.660831,0.812757,0.709591,0.755092,0.775227,0.712101,0.699016,0.719173,0.705351,0.757202,0.69169,0.721315,0.742307,0.62602,0.625668,0.782284,0.802083,0.762156,0.732056,0.79581,0.769806,0.71494,0.770539,0.618418,0.62724,0.765627,0.808313,0.862957,0.810679,0.751045,0.771197,0,0,0,0,0,0,0,0
S01xS04,bsyn,0.74543,0.7826,0.779359,0.722563,0.748755,0.748743,0.766402,0.660231,0.671832,0.765183,0.774943,0.763491,0.757981,0.692089,0.814249,0.667636,0.715185,0.718572,0.741418,0.741546,0.658405,0.730316,0.706457,0.619921,0.683497,0.739499,0.653651,0.700677,0.699618,0.68169,0.704487,0.570631,0.658348,0.760698,0.81224,0.733714,0.801267,0.775479,0.817804,0.687456,0.743757,0.63857,0.592241,0.778251,0.766613,0.837204,0.759066,0.72194,0.803807,0,0,0,0,0,0,0,0
S01xS04,syn,0.732159,0.769466,0.767248,0.706148,0.725107,0.726413,0.766042,0.618678,0.624013,0.765921,0.770115,0.733178,0.756265,0.701195,0.801527,0.637406,0.701296,0.688481,0.715585,0.711179,0.67201,0.725551,0.713393,0.638052,0.705574,0.75,0.659074,0.716172,0.691495,0.68169,0.701903,0.59167,0.674391,0.748705,0.817187,0.724091,0.784748,0.746626,0.801279,0.670895,0.73688,0.622752,0.588235,0.758783,0.766747,0.825477,0.755506,0.728657,0.788234,0,0,0,0,0,0,0,0
S01xS05,bsyn,0.749178,0.83225,0.801497,0.758231,0.758582,0.796117,0.741979,0.760336,0.731533,0.763216,0.794483,0.688874,0.704085,0.799659,0.81743,0.688481,0.70713,0.703656,0.722365,0.76157,0.757812,0.726742,0.773762,0.714286,0.770055,0.63855,0.650036,0.619489,0.659,0.676029,0.79657,0.634607,0.667261,0.773399,0.799544,0.809163,0.776275,0.782759,0.76665,0.773432,0.767644,0.654605,0.61459,0.799087,0.838041,0.860658,0.840712,0.626866,0.756688,0,0,0,0,0,0,0,0
S01xS05,syn,0.739503,0.834231,0.801462,0.760045,0.719812,0.773687,0.7354,0.73858,0.712494,0.737153,0.795402,0.68521,0.687607,0.817871,0.825064,0.66913,0.697222,0.66796,0.708548,0.731468,0.727775,0.704467,0.757839,0.713849,0.777705,0.640921,0.673536,0.646333,0.659489,0.667538,0.778248,0.638042,0.682709,0.753393,0.794336,0.799625,0.746226,0.783292,0.747301,0.789993,0.777416,0.659155,0.622602,0.791483,0.82997,0.866636,0.820467,0.624478,0.755224,0,0,0,0,0,0,0,0
S01xS06,bsyn,0.753002,0.800632,0.770002,0.777344,0.780705,0.7759,0.755858,0.659601,0.722825,0.793214,0.78046,0.779147,0.790937,0.81218,0.867684,0.723196,0.733889,0.639593,0.686492,0.822305,0.703798,0.79595,0.810882,0.645915,0.764372,0.739837,0.586768,0.70144,0.718998,0.692358,0.768381,0.612709,0.697564,0.785882,0.794531,0.752278,0.764668,0.783203,0.766318,0.725511,0.788636,0.663055,0.611849,0.785399,0.778585,0.875374,0.850056,0.729403,0.804738,0,0,0,0,0,0,0,0
